Channel URL,Name,Comment,Time,Likes,Reply Count,Reply Author,Reply,Published,Updated
http://www.youtube.com/@KoceeOfficial,@KoceeOfficial,Thank you my Ko-Citizens for your unending support! Keep streaming &quot;Deux Oeufs Spaghetti&quot; let&#39;s Gooooooooo! 🎉,2023-02-11T14:32:00Z,2509,257,,,,
,,,,,,@cristiano5306,Helo ko c j’adore 2 œufs 🥚 <br>Spaghetti 🍝 mayonnaise ❤❤❤❤❤❤❤❤❤❤❤🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉😊😊😊😊😊😊,2023-04-16T17:18:14Z,2023-04-16T17:18:14Z
,,,,,,@bchadegodofficiel955,"​@@nearisdesign7762 ,7%.65..",2023-04-14T21:03:08Z,2023-04-14T21:03:08Z
,,,,,,@basilearistideatangana1235,Cool,2023-04-14T19:14:03Z,2023-04-14T19:14:03Z
,,,,,,@dalliamanguendji9470,😅😅,2023-04-14T09:25:22Z,2023-04-14T09:25:22Z
,,,,,,@juliegneki,​@@danieltsimi-so8np 😊,2023-04-10T08:52:33Z,2023-04-10T08:52:33Z
,,,,,,@animix3607,Abec papa ko don&#39;t make remix with croqueuse de Diamant please abec seulement,2023-04-10T01:18:58Z,2023-04-10T01:18:58Z
,,,,,,@maimounaomobinotoure4138,​@@nearisdesign7762 vxjf PPYPHDDY?,2023-04-08T18:23:01Z,2023-04-08T18:23:01Z
,,,,,,@edmondevidale5629,​@@kabakaba4760😮😮ggw xhvb,2023-04-08T09:50:13Z,2024-06-17T23:28:23Z
,,,,,,@edmondevidale5629,​@@kabakaba4760😮😮ggw xhvb,2023-04-08T09:50:12Z,2024-06-17T23:28:23Z
,,,,,,@paracletyaounde2550,@@nearisdesign7762 ses sa,2023-04-07T09:37:16Z,2023-04-07T09:37:16Z
,,,,,,@boristeukeng3256,​@@nearisdesign7762 a,2023-04-03T21:41:47Z,2023-04-03T21:41:47Z
,,,,,,@feuto,@@nearisdesign7762 m,2023-04-02T10:04:03Z,2024-06-17T23:28:23Z
,,,,,,@zenabouadjick4625,​@@ennispatrick2429 s&#39;est bien fait,2023-04-01T20:29:07Z,2023-04-01T20:29:07Z
,,,,,,@zenabouadjick4625,​@@nearisdesign7762 mon gar😂,2023-04-01T20:28:16Z,2023-04-01T20:28:16Z
,,,,,,@seidoungapout5344,😂❤×+!÷!!!÷😅⁰,2023-04-01T04:22:59Z,2023-04-01T04:22:59Z
,,,,,,@hilarietsakeu9357,Tu es bon mon grand je t aime jusqu’à 😍,2023-03-29T12:16:53Z,2023-03-29T12:16:53Z
,,,,,,@sergemartialkuate2030,@@nearisdesign7762oo,2023-03-28T07:02:43Z,2023-03-28T07:02:43Z
,,,,,,@sergemartialkuate2030,7,2023-03-28T07:02:25Z,2023-03-28T07:02:25Z
,,,,,,@chideraano,​@@rarlzofficial &#39;nk,2023-03-27T20:35:01Z,2023-03-27T20:35:01Z
,,,,,,@bibianeessaka943,😅îì,2023-03-27T19:02:23Z,2023-03-27T19:02:23Z
,,,,,,@aichabrahimamougou9799,Love,2023-03-27T18:49:05Z,2023-03-27T18:49:05Z
,,,,,,@aichabrahimamougou9799,Love,2023-03-27T18:48:32Z,2023-03-27T18:48:32Z
,,,,,,@samuelabayo5852,Alino star,2023-03-22T17:44:29Z,2023-03-22T17:44:29Z
,,,,,,@laribbndje2075,🎉tx q2aaaa,2023-03-21T06:44:37Z,2023-03-21T06:44:37Z
,,,,,,@alvineminamou7082,😊😊😊.<br><br>😊😊😊😊,2023-03-20T11:51:51Z,2023-03-20T11:51:51Z
,,,,,,@yolandempoloum,@@mikegoltaford3360 Mpoloum,2023-03-16T14:27:50Z,2023-03-16T14:27:50Z
,,,,,,@yolandempoloum,C&#39;est<br>‹h2au okù il u@@laverite1962 iijjuuîôjj,2023-03-16T14:25:24Z,2023-03-16T14:25:24Z
,,,,,,@daughterofziontv8729,Nice song,2023-03-16T13:14:26Z,2023-03-16T13:14:26Z
,,,,,,@johannblack6027,PAPA ON VA SEULEMENT MOURIR DANS LE STREAMING PR TOI PAPA...!!!! CA C&#39;EST LA CHANSON DE L&#39;ANNEE....!!!! et l&#39;annee n&#39;est meme pas encore finie loolll,2023-03-16T10:43:57Z,2023-03-16T10:43:57Z
,,,,,,@edelquenakwanwi5340,@@nearisdesign7762 good,2023-03-10T13:10:34Z,2023-03-10T13:10:34Z
,,,,,,@soureyamairama3884,Le jour que j&#39;ai entendu cette musique j&#39;ai fait les 2oeufs spaghetti j&#39;aime ce son,2023-03-08T15:12:55Z,2023-03-08T15:12:55Z
,,,,,,@afroptv.,"Before you is you after you is still you. You’re the true definition of talent seeing you excelling in your career gives me overwhelming joy and love for you. I will keep supporting you praying  and working hard to also succeed in my comedy career so I can finally see you one day. Thank you very much for the good music you keep making. I most say we from @afroptv (onnado comedy) loves you so much sir we have pics of you drawn by our talented artist all over my wall in fact sir you’re the best. We love you. <a href=""http://www.youtube.com/results?search_query=%23onnadocomedy"">#onnadocomedy</a> #@afroptv.",2023-03-08T13:32:26Z,2023-03-08T13:32:26Z
,,,,,,@Crazy4AI,Merci Ko-C. I enjoy the song very much that I shared it with my friends in France and the 🇺🇸. Good job!,2023-03-08T11:35:53Z,2023-03-08T11:35:53Z
,,,,,,@jenniembella8057,@@rickabateefoua onong!,2023-03-07T06:48:06Z,2023-03-07T06:48:06Z
,,,,,,@jenniembella8057,@@mikegoltaford3360 No cap!!!👌🏼,2023-03-07T06:47:52Z,2023-03-07T06:47:52Z
